[*] Starting IPID spoofing and web content discovery for 137.184.230.90:8080
[*] Strategy: Sequential IPID probing from 0 to 65535...
[*] Starting 10 worker threads...
[*] Thread ScannerThread-1: Sending SYN packet with IPID: 0
[*] Thread ScannerThread-2: Sending SYN packet with IPID: 1
[*] Thread ScannerThread-3: Sending SYN packet with IPID: 2
[*] Thread ScannerThread-4: Sending SYN packet with IPID: 3
[*] Thread ScannerThread-5: Sending SYN packet with IPID: 4
[*] Thread ScannerThread-6: Sending SYN packet with IPID: 5
[*] Thread ScannerThread-7: Sending SYN packet with IPID: 6
[*] Thread ScannerThread-8: Sending SYN packet with IPID: 7
[*] Thread ScannerThread-9: Sending SYN packet with IPID: 8
[*] Thread ScannerThread-10: Sending SYN packet with IPID: 9
[*] Thread ScannerThread-7: Sending SYN packet with IPID: 10
[*] Thread ScannerThread-8: Sending SYN packet with IPID: 11
[*] Thread ScannerThread-3: Sending SYN packet with IPID: 12
[*] Thread ScannerThread-6: Sending SYN packet with IPID: 13
[*] Thread ScannerThread-9: Sending SYN packet with IPID: 14
[*] Thread ScannerThread-5: Sending SYN packet with IPID: 15
[*] Thread ScannerThread-10: Sending SYN packet with IPID: 16
[*] Thread ScannerThread-4: Sending SYN packet with IPID: 17
[*] Thread ScannerThread-1: Sending SYN packet with IPID: 18
[*] Thread ScannerThread-2: Sending SYN packet with IPID: 19
[*] Thread ScannerThread-8: Sending SYN packet with IPID: 20
[*] Thread ScannerThread-7: Sending SYN packet with IPID: 21
[*] Thread ScannerThread-9: Sending SYN packet with IPID: 22
[*] Thread ScannerThread-10: Sending SYN packet with IPID: 23
[*] Thread ScannerThread-6: Sending SYN packet with IPID: 24
[*] Thread ScannerThread-3: Sending SYN packet with IPID: 25
[*] Thread ScannerThread-5: Sending SYN packet with IPID: 26
[*] Thread ScannerThread-4: Sending SYN packet with IPID: 27
[*] Thread ScannerThread-1: Sending SYN packet with IPID: 28
[*] Thread ScannerThread-2: Sending SYN packet with IPID: 29
[*] Thread ScannerThread-8: Sending SYN packet with IPID: 30
[*] Thread ScannerThread-5: Sending SYN packet with IPID: 31
[*] Thread ScannerThread-10: Sending SYN packet with IPID: 32
[*] Thread ScannerThread-3: Sending SYN packet with IPID: 33
[*] Thread ScannerThread-7: Sending SYN packet with IPID: 34
[*] Thread ScannerThread-6: Sending SYN packet with IPID: 35
[*] Thread ScannerThread-4: Sending SYN packet with IPID: 36
[*] Thread ScannerThread-9: Sending SYN packet with IPID: 37
[*] Thread ScannerThread-2: Sending SYN packet with IPID: 38
[*] Thread ScannerThread-1: Sending SYN packet with IPID: 39
[*] Thread ScannerThread-8: Sending SYN packet with IPID: 40
[*] Thread ScannerThread-3: Sending SYN packet with IPID: 41
[*] Thread ScannerThread-6: Sending SYN packet with IPID: 42
[*] Thread ScannerThread-5: Sending SYN packet with IPID: 43
[*] Thread ScannerThread-4: Sending SYN packet with IPID: 44
[*] Thread ScannerThread-7: Sending SYN packet with IPID: 45
[*] Thread ScannerThread-10: Sending SYN packet with IPID: 46
[*] Thread ScannerThread-9: Sending SYN packet with IPID: 47
[*] Thread ScannerThread-2: Sending SYN packet with IPID: 48
[*] Thread ScannerThread-1: Sending SYN packet with IPID: 49
[*] Thread ScannerThread-8: Sending SYN packet with IPID: 50
[*] Thread ScannerThread-6: Sending SYN packet with IPID: 51
[*] Thread ScannerThread-10: Sending SYN packet with IPID: 52
[*] Thread ScannerThread-4: Sending SYN packet with IPID: 53
[*] Thread ScannerThread-3: Sending SYN packet with IPID: 54
[*] Thread ScannerThread-5: Sending SYN packet with IPID: 55
[*] Thread ScannerThread-9: Sending SYN packet with IPID: 56
